time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-10T19:33:28.000Z,61.5185,-140.664,0.5,2.3,ml,,,,0.54,ak,ak11438125,2014-11-10T21:14:00.776Z,"188km NNE of Cape Yakataga, Alaska",earthquake
2014-11-10T19:22:34.000Z,61.3735,-149.6866,36.4,3.3,ml,,,,0.48,ak,ak11438112,2014-11-10T22:38:19.131Z,"16km SSW of Knik-Fairview, Alaska",earthquake
2014-11-10T19:15:06.000Z,61.5213,-140.699,0,1.9,ml,,,,0.49,ak,ak11438090,2014-11-11T03:17:48.336Z,"187km NNE of Cape Yakataga, Alaska",earthquake
2014-11-10T18:58:01.320Z,38.8105011,-122.7828369,0.53,2.21,md,41,29,0.003226,0.05,nc,nc72339155,2014-11-11T03:00:36.765Z,"4km NNW of The Geysers, California",earthquake
2014-11-10T18:56:28.000Z,65.818,-150.9191,0,2,ml,,,,0.88,ak,ak11438028,2014-11-10T20:00:51.062Z,"89km NE of Tanana, Alaska",earthquake
2014-11-10T18:53:53.950Z,37.6344986,-118.8795013,8.23,1.22,md,16,94,0.01694,0.04,nc,nc72339140,2014-11-10T21:17:04.407Z,"8km E of Mammoth Lakes, California",earthquake
2014-11-10T18:22:36.090Z,13.3379,-90.7639,35.31,4.9,mb,,144,1.486,1.12,us,usc000sw2y,2014-11-11T02:25:17.840Z,"65km S of Puerto San Jose, Guatemala",earthquake
2014-11-10T17:43:17.000Z,62.57,-149.4389,62,1,ml,,,,0.16,ak,ak11437934,2014-11-10T20:00:49.325Z,"44km NE of Talkeetna, Alaska",earthquake
2014-11-10T17:43:07.000Z,61.273,-140.5561,37.5,1.7,ml,,,,0.38,ak,ak11437933,2014-11-10T18:36:24.241Z,"169km NE of Cape Yakataga, Alaska",earthquake
2014-11-10T17:35:13.460Z,33.9401667,-117.1845,20.14,1.33,ml,19,148,0.08021,0.44,ci,ci37286840,2014-11-10T17:39:50.950Z,"4km E of Moreno Valley, California",earthquake
